Order_ID,Order_Date,Customer_ID,Customer_Name,Product_Category,Product_Name,Region,Quantity,Unit_Price,Discount,Revenue,Profit,Sales_Channel
ORD-000018,2023-04-24,CUST-0119,Maria Garcia,Office Supplies,Stapler Deluxe,Latin America,9,396.04,0.16,2994.06,753.44,Online
ORD-000019,2023-04-06,CUST-0479,Robert Brown,Furniture,Bookshelf Unit,North America,5,455.12,0.21,1797.72,770.46,Phone
ORD-000020,2024-06-18,CUST-0085,James Thomas,Office Supplies,Desk Organizer,Middle East,4,239.66,0.08,881.95,290.38,Direct Sales
ORD-000021,2022-06-14,CUST-0140,Lisa Rodriguez,Food & Beverage,Organic Tea Set,Latin America,20,29.53,0.11,525.63,185.71,Partner
ORD-000022,2022-02-12,CUST-0129,Robert Wilson,Electronics,Laptop Pro 15,Europe,9,292.36,0.19,2131.3,847.07,Phone
ORD-000023,2024-06-11,CUST-0266,Robert Wilson,Clothing,Safety Vest,Europe,16,484.84,0.12,6826.55,2235.66,Phone
ORD-000024,2024-10-11,CUST-0165,David Davis,Electronics,Wireless Headphones,Asia Pacific,10,334.67,0.1,3012.03,668.22,Partner
ORD-000025,2023-10-25,CUST-0019,Richard Thomas,Clothing,Business Shirt,Asia Pacific,4,485.39,0.1,1747.4,516.57,Direct Sales
ORD-000026,2023-01-20,CUST-0001,William Johnson,Food & Beverage,Energy Drink Pack,Latin America,17,187.27,0.19,2578.71,676.6,Online
ORD-000027,2022-09-26,CUST-0390,Thomas Johnson,Electronics,Wireless Headphones,Asia Pacific,10,224.68,0.17,1864.84,771.25,Phone
ORD-000028,2022-01-29,CUST-0499,Sarah Johnson,Food & Beverage,Snack Variety Pack,Europe,18,209.92,0.06,3551.85,701.77,Direct Sales
ORD-000029,2023-08-21,CUST-0059,Thomas Wilson,Clothing,Business Shirt,Europe,17,355.65,0.1,5441.44,1661.0,Partner
ORD-000030,2024-02-25,CUST-0242,Jessica Rodriguez,Furniture,Bookshelf Unit,Middle East,7,461.72,0.13,2811.87,523.58,Retail Store
ORD-000031,2024-11-05,CUST-0443,Anna Brown,Electronics,Smart Watch,Latin America,9,412.07,0.07,3449.03,1243.15,Direct Sales
ORD-000032,2024-09-18,CUST-0301,Richard Anderson,Food & Beverage,Energy Drink Pack,Europe,12,172.9,0.19,1680.59,566.08,Partner
ORD-000033,2024-02-24,CUST-0478,James Martinez,Office Supplies,Ink Cartridge Set,Europe,8,429.45,0.1,3092.04,1096.27,Phone
ORD-000034,2022-03-17,CUST-0243,Jennifer Jones,Clothing,Winter Jacket,Europe,5,256.12,0.15,1088.51,205.83,Partner
ORD-000035,2022-02-01,CUST-0448,William Wilson,Clothing,Business Shirt,Middle East,5,210.89,0.16,885.74,357.57,Partner
ORD-000036,2022-06-14,CUST-0241,Robert Davis,Office Supplies,Stapler Deluxe,Middle East,11,427.65,0.21,3716.28,1248.66,Partner
ORD-000037,2022-05-21,CUST-0163,William Miller,Clothing,Work Boots,North America,8,319.27,0.23,1966.7,296.52,Phone
ORD-000038,2024-06-27,CUST-0383,Jennifer Anderson,Electronics,Tablet Air,North America,6,350.06,0.23,1617.28,705.46,Online
ORD-000039,2024-06-01,CUST-0408,Jennifer Thomas,Electronics,Smart Watch,Asia Pacific,5,129.66,0.1,583.47,143.22,Direct Sales
ORD-000040,2024-02-23,CUST-0093,Michael Rodriguez,Furniture,Ergonomic Chair,North America,20,344.74,0.12,6067.42,1668.86,Phone
ORD-000041,2022-01-20,CUST-0119,Maria Garcia,Clothing,Safety Vest,Latin America,15,451.59,0.17,5622.3,2263.58,Direct Sales
ORD-000042,2023-05-28,CUST-0227,David Williams,Office Supplies,Desk Organizer,Asia Pacific,15,424.2,0.05,6044.85,2022.56,Partner
ORD-000043,2024-01-06,CUST-0248,Michael Wilson,Electronics,Wireless Headphones,Latin America,19,154.98,0.17,2444.03,1083.73,Phone
ORD-000044,2022-04-11,CUST-0425,Sarah Johnson,Clothing,Safety Vest,North America,20,375.13,0.21,5927.05,1061.65,Phone
ORD-000045,2023-01-25,CUST-0398,Robert Taylor,Furniture,Standing Desk,Asia Pacific,20,132.81,0.19,2151.52,472.82,Retail Store
ORD-000046,2024-06-21,CUST-0349,Sarah Miller,Furniture,Executive Desk,North America,2,293.99,0.18,482.14,203.93,Direct Sales
ORD-000047,2022-09-28,CUST-0152,Maria Rodriguez,Office Supplies,Whiteboard Kit,Europe,18,439.47,0.09,7198.52,2155.68,Retail Store
ORD-000048,2023-11-25,CUST-0140,Lisa Rodriguez,Furniture,Conference Table,Latin America,4,239.48,0.02,938.76,210.05,Direct Sales
ORD-000049,2024-03-19,CUST-0116,Thomas Smith,Clothing,Work Boots,Asia Pacific,1,139.58,0.03,135.39,45.95,Online
ORD-000050,2022-08-10,CUST-0384,David Davis,Office Supplies,Desk Organizer,Latin America,8,241.02,0.15,1638.94,273.78,Direct Sales
ORD-000051,2023-09-11,CUST-0168,William Wilson,Food & Beverage,Snack Variety Pack,North America,14,67.17,0.01,930.98,408.55,Partner
ORD-000052,2022-10-05,CUST-0253,Robert Jones,Electronics,Laptop Pro 15,Europe,13,232.29,0.17,2506.41,569.1,Phone
ORD-000053,2024-04-29,CUST-0485,Emily Williams,Food & Beverage,Energy Drink Pack,Middle East,4,418.51,0.15,1422.93,239.46,Retail Store
ORD-000054,2024-06-29,CUST-0144,James Martinez,Electronics,Smart Watch,Europe,8,429.17,0.02,3364.69,821.98,Partner
ORD-000055,2023-01-24,CUST-0279,Michael Garcia,Office Supplies,Printer Paper Pack,Latin America,4,475.02,0.21,1501.06,634.19,Direct Sales
ORD-000056,2023-05-14,CUST-0109,Michael Thomas,Food & Beverage,Coffee Beans 5lb,North America,5,395.62,0.05,1879.19,377.82,Direct Sales
ORD-000057,2023-11-04,CUST-0284,Sarah Wilson,Furniture,Standing Desk,Europe,5,396.44,0.15,1684.87,618.04,Retail Store
ORD-000058,2022-08-14,CUST-0075,Michael Williams,Furniture,Standing Desk,Asia Pacific,1,74.58,0.09,67.87,14.49,Retail Store
ORD-000059,2022-04-18,CUST-0302,Maria Miller,Office Supplies,Printer Paper Pack,Europe,5,373.44,0.13,1624.46,367.62,Direct Sales
ORD-000060,2022-08-12,CUST-0244,Anna Taylor,Clothing,Safety Vest,Middle East,15,256.88,0.24,2928.43,1279.7,Phone
ORD-000061,2022-05-05,CUST-0402,Richard Davis,Food & Beverage,Bottled Water Case,Latin America,16,425.18,0.11,6054.56,2528.45,Online
ORD-000062,2022-10-31,CUST-0365,Thomas Taylor,Clothing,Business Shirt,North America,3,71.83,0.16,181.01,49.67,Direct Sales
ORD-000063,2023-08-27,CUST-0365,Thomas Taylor,Office Supplies,Whiteboard Kit,Middle East,15,257.72,0.11,3440.56,729.64,Phone
ORD-000064,2023-04-13,CUST-0059,Thomas Wilson,Food & Beverage,Snack Variety Pack,Latin America,14,176.08,0.11,2193.96,713.48,Partner
ORD-000065,2024-02-06,CUST-0049,Emily Garcia,Office Supplies,Whiteboard Kit,Asia Pacific,5,346.54,0.12,1524.78,644.42,Direct Sales
ORD-000066,2022-09-24,CUST-0044,Sarah Thomas,Electronics,Tablet Air,North America,18,39.39,0.24,538.86,151.69,Direct Sales
ORD-000067,2022-04-16,CUST-0344,John Jones,Electronics,Tablet Air,Asia Pacific,10,304.2,0.09,2768.22,765.76,Partner
ORD-000068,2023-12-19,CUST-0109,Michael Thomas,Furniture,Bookshelf Unit,Europe,18,190.1,0.19,2771.66,769.88,Online
ORD-000069,2022-02-23,CUST-0414,John Davis,Clothing,Work Boots,Middle East,20,465.25,0.21,7350.95,2718.13,Phone
ORD-000070,2022-01-13,CUST-0093,Michael Rodriguez,Office Supplies,Stapler Deluxe,Asia Pacific,6,436.23,0.14,2250.95,742.28,Direct Sales
ORD-000071,2024-02-10,CUST-0073,David Wilson,Electronics,Laptop Pro 15,Middle East,14,232.29,0.04,3121.98,1113.01,Retail Store
ORD-000072,2022-11-15,CUST-0167,James Wilson,Food & Beverage,Organic Tea Set,North America,6,379.67,0.01,2255.24,959.66,Online
ORD-000073,2024-04-28,CUST-0227,David Williams,Clothing,Winter Jacket,Middle East,9,115.63,0.13,905.38,313.67,Partner
ORD-000074,2023-09-24,CUST-0057,Robert Davis,Office Supplies,Desk Organizer,Latin America,2,118.05,0.25,177.07,76.77,Phone
ORD-000075,2023-08-16,CUST-0105,Michael Rodriguez,Office Supplies,Ink Cartridge Set,Europe,11,68.79,0.12,665.89,213.62,Direct Sales
ORD-000076,2023-12-27,CUST-0067,David Jones,Clothing,Work Boots,Europe,3,204.56,0.19,497.08,158.64,Phone
ORD-000077,2024-04-08,CUST-0236,John Jones,Electronics,Smart Watch,Middle East,14,151.86,0.1,1913.44,306.42,Partner
ORD-000078,2024-06-13,CUST-0088,Richard Wilson,Food & Beverage,Energy Drink Pack,Asia Pacific,4,129.23,0.15,439.38,128.66,Online
ORD-000079,2022-12-11,CUST-0203,Anna Anderson,Office Supplies,Stapler Deluxe,Europe,3,260.14,0.03,757.01,224.84,Direct Sales
ORD-000080,2022-07-30,CUST-0464,Emily Taylor,Office Supplies,Stapler Deluxe,Europe,5,135.42,0.04,650.02,262.7,Retail Store
ORD-000081,2024-07-08,CUST-0389,Jessica Taylor,Electronics,Wireless Headphones,Latin America,19,325.07,0.25,4632.25,1635.36,Partner
ORD-000082,2024-08-18,CUST-0498,Jessica Wilson,Office Supplies,Ink Cartridge Set,Latin America,15,319.38,0.2,3832.56,1044.66,Online
ORD-000083,2024-07-14,CUST-0181,Jessica Thomas,Food & Beverage,Coffee Beans 5lb,Asia Pacific,2,37.88,0.21,59.85,25.55,Partner
ORD-000084,2024-02-27,CUST-0443,Anna Brown,Electronics,4K Monitor,Middle East,15,294.36,0.24,3355.7,766.19,Phone
ORD-000085,2024-09-01,CUST-0022,Jennifer Miller,Clothing,Work Boots,Europe,17,83.92,0.02,1398.11,585.74,Direct Sales
ORD-000086,2022-03-22,CUST-0461,Michael Miller,Office Supplies,Printer Paper Pack,Middle East,8,356.73,0.25,2140.38,626.66,Retail Store
ORD-000087,2024-03-04,CUST-0313,Michael Thomas,Furniture,Conference Table,Asia Pacific,14,389.49,0.17,4525.87,1965.54,Direct Sales
ORD-000088,2024-03-02,CUST-0324,David Garcia,Office Supplies,Printer Paper Pack,Asia Pacific,10,133.48,0.21,1054.49,169.43,Online
ORD-000089,2022-10-17,CUST-0309,Jessica Brown,Furniture,Conference Table,North America,12,162.01,0.16,1633.06,410.49,Phone
ORD-000090,2024-02-11,CUST-0067,David Jones,Food & Beverage,Coffee Beans 5lb,Asia Pacific,11,408.46,0.17,3729.24,750.74,Phone
ORD-000091,2024-01-12,CUST-0379,Richard Johnson,Food & Beverage,Coffee Beans 5lb,Latin America,1,187.67,0.05,178.29,68.77,Phone
ORD-000092,2022-11-14,CUST-0486,Anna Martinez,Clothing,Corporate Polo,Europe,3,154.94,0.2,371.86,110.7,Retail Store
ORD-000093,2022-09-26,CUST-0277,Robert Miller,Food & Beverage,Coffee Beans 5lb,Asia Pacific,20,194.59,0.04,3736.13,749.45,Phone
ORD-000094,2024-04-21,CUST-0395,James Rodriguez,Food & Beverage,Snack Variety Pack,Latin America,12,341.42,0.06,3851.22,1219.84,Online
ORD-000095,2023-09-26,CUST-0146,Anna Brown,Clothing,Corporate Polo,Middle East,16,452.95,0.05,6884.84,1697.17,Retail Store
ORD-000096,2024-10-26,CUST-0293,Robert Miller,Clothing,Winter Jacket,Asia Pacific,17,215.14,0.04,3511.08,1369.64,Partner
ORD-000097,2024-01-31,CUST-0310,Sarah Smith,Furniture,Conference Table,North America,18,467.8,0.18,6904.73,2038.46,Partner
ORD-000098,2024-07-09,CUST-0064,James Brown,Office Supplies,Printer Paper Pack,Europe,17,82.2,0.11,1243.69,206.55,Direct Sales
ORD-000099,2022-04-20,CUST-0114,John Taylor,Clothing,Safety Vest,North America,13,255.98,0.06,3128.08,474.35,Partner
ORD-000100,2023-11-18,CUST-0192,Robert Miller,Furniture,Executive Desk,Asia Pacific,5,77.42,0.07,360.0,72.39,Online
ORD-000101,2022-01-11,CUST-0357,Michael Brown,Furniture,Bookshelf Unit,Latin America,3,19.31,0.05,55.03,,Phone
ORD-000102,2023-08-14,CUST-0482,Anna Brown,Food & Beverage,Organic Tea Set,Latin America,8,157.56,0.01,1247.88,404.38,Online
ORD-000103,2024-10-20,CUST-0407,Lisa Williams,Food & Beverage,Energy Drink Pack,North America,20,272.67,0.16,4580.86,1271.12,Online
ORD-000104,2023-12-24,CUST-0368,Michael Rodriguez,Furniture,Conference Table,Latin America,8,289.63,0.05,2201.19,549.28,Online
ORD-000105,2024-11-05,CUST-0269,John Anderson,Office Supplies,Printer Paper Pack,Middle East,17,281.53,0.1,4307.41,1330.82,Phone
ORD-000106,2024-01-02,CUST-0326,Emily Miller,Clothing,Safety Vest,Asia Pacific,3,178.95,0.18,440.22,115.13,Online
ORD-000107,2023-12-23,CUST-0396,Sarah Thomas,Food & Beverage,Bottled Water Case,Europe,18,175.89,0.16,2659.46,534.25,Online
ORD-000108,2022-05-10,CUST-0351,William Anderson,Clothing,Winter Jacket,Europe,15,28.12,0.05,400.71,85.22,Retail Store
ORD-000109,2024-03-26,CUST-0454,James Miller,Electronics,Smart Watch,Asia Pacific,18,241.97,0.01,4311.91,1103.55,Phone
ORD-000110,2022-09-12,CUST-0147,James Johnson,Office Supplies,Printer Paper Pack,Asia Pacific,12,224.11,0.1,2420.39,769.88,Direct Sales
ORD-000111,2024-10-15,CUST-0490,Michael Johnson,Clothing,Safety Vest,Europe,12,462.91,0.13,4832.78,1013.22,Partner
ORD-000112,2023-01-05,CUST-0373,William Jones,Clothing,Business Shirt,Latin America,18,153.95,0.03,2687.97,945.15,Phone
ORD-000113,2022-12-08,CUST-0152,Maria Rodriguez,Office Supplies,Whiteboard Kit,Middle East,15,182.26,0.01,2706.56,511.51,Partner
ORD-000114,2022-06-03,CUST-0181,Jessica Thomas,Food & Beverage,Energy Drink Pack,Asia Pacific,13,188.02,0.2,1955.41,481.38,Online
ORD-000115,2022-03-13,CUST-0488,Maria Taylor,Electronics,Wireless Headphones,Middle East,5,42.94,0.19,173.91,59.15,Partner
ORD-000116,2024-07-10,CUST-0197,Jennifer Anderson,Food & Beverage,Coffee Beans 5lb,Middle East,12,192.29,0.19,1869.06,519.27,Retail Store
ORD-000117,2023-05-27,CUST-0272,Maria Anderson,Office Supplies,Whiteboard Kit,Asia Pacific,4,22.7,0.05,86.26,25.42,Direct Sales
ORD-000118,2024-07-02,CUST-0468,Michael Thomas,Food & Beverage,Coffee Beans 5lb,Asia Pacific,7,498.22,0.07,3243.41,567.78,Direct Sales
ORD-000119,2024-07-14,CUST-0252,Jennifer Rodriguez,Furniture,Executive Desk,Europe,6,450.35,0.11,2404.87,1018.85,Online
ORD-000120,2023-08-18,CUST-0350,William Miller,Office Supplies,Stapler Deluxe,North America,10,427.17,0.18,3502.79,601.79,Phone
ORD-000121,2022-09-06,CUST-0327,Anna Rodriguez,Furniture,Conference Table,Middle East,7,398.11,0.06,2619.56,790.57,Retail Store
ORD-000122,2022-09-23,CUST-0185,James Johnson,Food & Beverage,Organic Tea Set,Asia Pacific,20,443.28,0.02,8688.29,2871.93,Partner
ORD-000123,2022-06-01,CUST-0368,Michael Rodriguez,Clothing,Work Boots,Latin America,5,486.47,0.16,2043.17,643.61,Partner
ORD-000124,2023-01-08,CUST-0349,Sarah Miller,Food & Beverage,Bottled Water Case,Europe,5,221.98,0.23,854.62,370.37,Phone
ORD-000125,2022-11-28,CUST-0064,James Brown,Food & Beverage,Snack Variety Pack,Asia Pacific,11,468.02,0.06,4839.33,802.14,Retail Store
ORD-000126,2023-07-17,CUST-0266,Robert Wilson,Office Supplies,Printer Paper Pack,Asia Pacific,5,316.26,0.15,1344.11,567.18,Retail Store
ORD-000127,2022-12-17,CUST-0329,Thomas Martinez,Furniture,Standing Desk,Middle East,20,363.11,0.15,6172.87,1217.54,Retail Store
ORD-000128,2023-06-27,CUST-0289,Jennifer Williams,Electronics,Laptop Pro 15,North America,7,385.81,0.1,2430.6,627.83,Online
ORD-000129,2023-05-17,CUST-0255,Sarah Anderson,Food & Beverage,Bottled Water Case,Asia Pacific,13,155.74,0.02,1984.13,857.2,Partner
ORD-000130,2023-11-28,CUST-0226,Sarah Jones,Clothing,Winter Jacket,Latin America,20,80.4,0.22,1254.24,444.26,Retail Store
ORD-000131,2024-11-20,CUST-0441,Jennifer Anderson,Office Supplies,Whiteboard Kit,Europe,18,62.03,0.06,1049.55,433.72,Direct Sales
ORD-000132,2023-08-18,CUST-0231,Thomas Johnson,Furniture,Ergonomic Chair,North America,13,433.44,0.1,5071.25,817.46,Online
ORD-000133,2023-01-24,CUST-0462,Emily Brown,Furniture,Conference Table,Middle East,6,254.15,0.13,1326.66,398.49,Direct Sales
ORD-000134,2024-11-01,CUST-0158,Anna Davis,Clothing,Business Shirt,North America,15,483.68,0.05,6892.44,2371.91,Partner
ORD-000135,2023-08-09,CUST-0026,Maria Johnson,Office Supplies,Whiteboard Kit,Middle East,18,14.01,0.03,244.61,100.25,Partner
ORD-000136,2024-03-31,CUST-0136,Jennifer Brown,Office Supplies,Whiteboard Kit,Asia Pacific,2,289.44,0.05,549.94,156.2,Online
ORD-000137,2023-07-27,CUST-0038,Emily Martinez,Clothing,Work Boots,Latin America,20,343.4,0.03,6661.96,1049.09,Phone
ORD-000138,2022-10-23,CUST-0202,Sarah Smith,Office Supplies,Stapler Deluxe,Middle East,7,305.21,0.1,1922.82,842.05,Direct Sales
ORD-000139,2024-07-24,CUST-0020,James Taylor,Furniture,Conference Table,Latin America,5,307.07,0.13,1335.75,469.66,Phone
ORD-000140,2023-09-05,CUST-0314,Maria Taylor,Office Supplies,Ink Cartridge Set,Latin America,19,174.82,0.21,2624.05,761.76,Phone
ORD-000141,2024-01-25,CUST-0363,Sarah Rodriguez,Food & Beverage,Bottled Water Case,Latin America,11,340.17,0.24,2843.82,781.74,Online
ORD-000142,2023-04-12,CUST-0408,Jennifer Thomas,Electronics,4K Monitor,Latin America,2,295.93,0.04,568.19,148.46,Direct Sales
ORD-000143,2022-08-14,CUST-0318,Jessica Rodriguez,Clothing,Corporate Polo,Europe,7,19.28,0.08,124.16,50.23,Online
ORD-000144,2024-08-23,CUST-0354,Michael Miller,Furniture,Bookshelf Unit,Middle East,2,355.83,0.13,619.14,174.43,Phone
ORD-000145,2022-12-21,CUST-0340,Anna Garcia,Clothing,Work Boots,Latin America,15,456.94,0.09,6237.23,2143.82,Direct Sales
ORD-000146,2023-05-20,CUST-0396,Sarah Thomas,Office Supplies,Desk Organizer,Latin America,9,283.46,0.06,2398.07,379.2,Retail Store
ORD-000147,2024-09-09,CUST-0153,Sarah Jones,Office Supplies,Ink Cartridge Set,Latin America,12,284.64,0.23,2630.07,614.12,Direct Sales
ORD-000148,2024-03-19,CUST-0148,Jennifer Wilson,Electronics,4K Monitor,Middle East,12,477.76,0.2,4586.5,1664.28,Partner
ORD-000149,2024-09-08,CUST-0148,Jennifer Wilson,Electronics,Smart Watch,Latin America,7,109.01,0.13,663.87,112.92,Direct Sales
ORD-000150,2023-05-06,CUST-0357,Michael Brown,Office Supplies,Ink Cartridge Set,North America,8,34.88,0.23,214.86,82.14,Phone
ORD-000151,2024-08-25,CUST-0120,Thomas Thomas,Electronics,Laptop Pro 15,Latin America,4,343.78,0.03,1333.87,214.28,Direct Sales
ORD-000152,2023-02-13,CUST-0476,James Brown,Furniture,Bookshelf Unit,Latin America,10,167.37,0.16,1405.91,249.72,Partner
ORD-000153,2022-12-25,CUST-0046,Michael Davis,Food & Beverage,Snack Variety Pack,Middle East,14,442.3,0.04,5944.51,1035.0,Online
ORD-000154,2022-03-18,CUST-0429,James Brown,Clothing,Winter Jacket,Europe,1,156.21,0.15,132.78,22.77,Direct Sales
ORD-000155,2024-10-08,CUST-0172,Jessica Johnson,Office Supplies,Whiteboard Kit,Middle East,5,427.02,0.12,1878.89,736.82,Phone
ORD-000156,2023-01-17,CUST-0058,David Jones,Office Supplies,Ink Cartridge Set,Latin America,1,370.94,0.2,296.75,82.99,Direct Sales
ORD-000157,2024-05-25,CUST-0388,Thomas Taylor,Furniture,Ergonomic Chair,Middle East,17,170.68,0.1,2611.4,1100.4,Partner
ORD-000158,2023-06-19,CUST-0072,William Davis,Clothing,Safety Vest,Europe,13,125.41,0.19,1320.57,216.3,Online
ORD-000159,2024-01-07,CUST-0155,Sarah Rodriguez,Food & Beverage,Organic Tea Set,North America,8,40.44,0.03,313.81,112.33,Direct Sales
ORD-000160,2024-01-23,CUST-0208,John Thomas,Food & Beverage,Bottled Water Case,North America,20,118.22,0.24,1796.94,550.84,Direct Sales
ORD-000161,2024-08-22,CUST-0233,Anna Martinez,Food & Beverage,Bottled Water Case,Latin America,18,402.98,0.21,5730.38,1268.95,Phone
ORD-000162,2024-12-17,CUST-0349,Sarah Miller,Food & Beverage,Coffee Beans 5lb,Middle East,12,48.27,0.14,498.15,214.94,Partner
ORD-000163,2022-11-03,CUST-0281,Jessica Smith,Food & Beverage,Snack Variety Pack,Middle East,6,170.78,0.13,891.47,370.07,Phone
ORD-000164,2024-07-01,CUST-0106,Richard Williams,Food & Beverage,Energy Drink Pack,North America,2,232.18,0.13,403.99,126.43,Phone
ORD-000165,2024-03-21,CUST-0030,Michael Taylor,Food & Beverage,Energy Drink Pack,Asia Pacific,9,410.06,0.19,2989.34,826.57,Online
ORD-000166,2022-05-04,CUST-0024,Robert Brown,Clothing,Safety Vest,North America,3,493.21,0.12,1302.07,473.79,Phone
ORD-000167,2024-07-07,CUST-0093,Michael Rodriguez,Furniture,Bookshelf Unit,Asia Pacific,13,194.07,0.17,2094.02,526.57,Partner
ORD-000168,2024-03-15,CUST-0277,Robert Miller,Furniture,Conference Table,North America,17,72.4,0.24,935.41,186.66,Retail Store
ORD-000169,2024-05-18,CUST-0388,Thomas Taylor,Electronics,Smart Watch,Latin America,18,195.85,0.06,3313.78,1033.28,Phone
ORD-000170,2024-05-08,CUST-0080,Thomas Martinez,Office Supplies,Ink Cartridge Set,North America,20,385.37,0.22,6011.77,2677.08,Online
ORD-000171,2024-07-03,CUST-0106,Richard Williams,Electronics,Laptop Pro 15,Middle East,20,339.29,0.22,5292.92,1993.21,Online
ORD-000172,2023-03-21,CUST-0023,Emily Jones,Clothing,Winter Jacket,Europe,2,78.67,0.25,118.0,44.81,Phone
ORD-000173,2023-10-19,CUST-0470,James Anderson,Food & Beverage,Bottled Water Case,Middle East,8,157.86,0.04,1212.36,305.44,Phone
ORD-000174,2022-12-25,CUST-0114,John Taylor,Clothing,Safety Vest,Asia Pacific,14,282.37,0.01,3913.65,1356.77,Online
ORD-000175,2024-04-16,CUST-0330,Sarah Jones,Clothing,Work Boots,Asia Pacific,5,156.95,0.05,745.51,215.17,Partner
ORD-000176,2022-04-29,CUST-0124,Maria Johnson,Furniture,Conference Table,Europe,18,212.21,0.1,3437.8,1000.41,Partner
ORD-000177,2022-06-11,CUST-0199,William Anderson,Furniture,Conference Table,Europe,15,425.1,0.02,6248.97,1453.66,Direct Sales
ORD-000178,2022-03-22,CUST-0098,Richard Jones,Electronics,Smart Watch,Latin America,3,102.2,0.19,248.35,57.79,Phone
ORD-000179,2023-09-13,CUST-0287,Thomas Thomas,Furniture,Bookshelf Unit,Europe,1,113.79,0.05,108.1,24.6,Direct Sales
ORD-000180,2024-03-23,CUST-0383,Jennifer Anderson,Clothing,Corporate Polo,Middle East,8,280.52,0.19,1817.77,610.41,Retail Store
ORD-000181,2024-11-16,CUST-0274,John Smith,Office Supplies,Stapler Deluxe,Asia Pacific,16,238.34,0.2,3050.75,711.67,Direct Sales
ORD-000182,2024-04-27,CUST-0390,Thomas Johnson,Office Supplies,Ink Cartridge Set,Asia Pacific,2,285.64,0.06,537.0,218.14,Direct Sales
ORD-000183,2023-08-28,CUST-0134,Sarah Rodriguez,Food & Beverage,Organic Tea Set,Middle East,5,106.13,0.06,498.81,139.2,Partner
ORD-000184,2024-09-27,CUST-0126,Jessica Johnson,Clothing,Work Boots,Asia Pacific,16,235.81,0.18,3093.83,1065.35,Direct Sales
ORD-000185,2022-05-01,CUST-0072,William Davis,Food & Beverage,Energy Drink Pack,Europe,17,26.57,0.21,356.84,59.39,Phone
ORD-000186,2023-04-19,CUST-0343,Thomas Jones,Electronics,Laptop Pro 15,Latin America,3,356.51,0.0,1069.53,319.02,Retail Store
ORD-000187,2024-09-26,CUST-0192,Robert Miller,Electronics,4K Monitor,Middle East,1,13.24,0.14,11.39,5.09,Partner
ORD-000188,2024-10-25,CUST-0272,Maria Anderson,Office Supplies,Desk Organizer,Asia Pacific,14,405.02,0.23,4366.12,1824.58,Online
ORD-000189,2024-12-14,CUST-0050,Sarah Wilson,Food & Beverage,Snack Variety Pack,Europe,9,409.46,0.07,3427.18,1134.16,Retail Store
ORD-000190,2023-04-08,CUST-0192,Robert Miller,Clothing,Winter Jacket,Middle East,10,345.18,0.21,2726.92,692.31,Retail Store
